Titulo,Estreno,Pais,Idiomas,Direccion,Nota,Productoras,Clasificacion,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Premios,Sinopsis,Genero1,Genero2,Duracion
Ryuzo and his Seven Henchmen,2015,Japón,Japones,Takeshi Kitano,6.3,Canal,PG,Tatsuya Fuji, Masaomi Kondo, Akira Nakao, Masanobu Katsumura, Akira Onodera, Tôru Shinagawa,Mejor Diseño de Producción,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",Comedia,,45
Molly Moon y el increíble libro del hipnotismo,2015,Reino Unido,Ingles,Christopher N. Rowley,3.8,Miramax,R,Raffey Cassidy, Anne-Marie Duff, Emily Watson, Dominic Monaghan, Joan Collins, Lesley Manville,Mejor Diseño de Vestuario,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Aventuras, Comedia,60
Cuando aparecen los extraños,2001,Australia,Ingles,Scott Reynolds,5.3,Village Roadshow Pictures,PG,Radha Mitchell, Josh Lucas, Barry Watson, Kevin Anderson, Jonathan Blick, Eryn Wilson,Mejor Guión,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,Acción, Drama,60
Maine,2018,Estados Unidos,Ingles,Matthew Brown,5.2,Sony Pictures Entertainment,PG-13,Laia Costa, Thomas Mann, Pete Burris, Jeremy DeCarlos, Pat Dortch, Matthew Brown,,Sed ante. Vivamus tortor.,Aventuras,,
Convicto,2014,Australia,Ingles,"David Field, George Basha",5.7,Miramax,G,George Basha, Richard Green, Brian Ellison, David Field, Frank Violi, Millie Rose Heywood,Mejor Diseño de Vestuario,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",Acción,,120
La próxima piel,2016,España,Español,"Isaki Lacuesta, Isa Campo",5.9,Columbia Pictures,PG-13,Àlex Monner, Emma Suárez, Sergi López, Bruno Todeschini, Igor Szpakowski, Mikel Iglesias,Mejor Director,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Drama,,90
Los caballos de Dios,2012,Marruecos,,Nabil Ayouch,7.1,20th Century Studios,G,Abdelhakim Rachid, Abdelilah Rachid, Hamza Souidek, Ahmed El Idrissi El Armani,,,Mejor Actor Principal,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Drama,,90
Fuerza mayor,2014,Suecia,,Ruben Östlund,6.3,Marvel Studios,PG-13,Johannes Kuhnke, Lisa Loven, Vincent Wettergren, Clara Wettergren, Kristofer Hivju, Fanni Metelius,,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Drama,,
Tráiganme la cabeza de la mujer metralleta,2013,Chile,Español,Ernesto Díaz Espinoza,4.8,Constantin Film,PG,Fernanda Urrejola, Matías Oviedo, Jorge Alis, Sofía García, Mauricio Pesutic, Patricio Pimienta,,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",Acción,,90
Ocean's Eleven (Hagan Juego),2001,Estados Unidos,Ingles,Steven Soderbergh,7.2,Columbia Pictures,NC-17,George Clooney, Julia Roberts, Matt Damon, Andy García, Brad Pitt, Casey Affleck,Mejor Película,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",Intriga, Thriller,
Altitude,2017,Estados Unidos,Ingles,Alex Merkin,3.1,Miramax,NR,Denise Richards, Dolph Lundgren, Jonathan Lipnicki, Greer Grammer, John Posey, Chelsea Edmundson,,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Acción, Thriller,60
Ingenuas y peligrosas,2001,Estados Unidos,Ingles,Francine McDougall,4.2,Sony Pictures Entertainment,NC-17,Marla Sokoloff, Mena Suvari, Marley Shelton, Melissa George, Rachel Blanchard, James Marsden,,Nulla nisl. Nunc nisl.,Comedia,,60
Declaradme culpable,2006,Estados Unidos,Ingles,Sidney Lumet,6.2,EuropaCorp,PG,Vin Diesel, Ron Silver, Alex Rocco, Peter Dinklage, Linus Roache, Annabella Sciorra,Mejor Actriz Principal,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",Drama, Comedia,90
Duelo en el asfalto,2015,Canadá,Ingles,Michael Bafaro,2.8,Miramax,G,Anna Hutchison, Andrea Whitburn, Jennifer Koenig, Don Knodel, Michael Dickson, Kurtis Maguire,,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",Thriller,,150
The Amazing Spider-Man 2: El poder de Electro,2014,Estados Unidos,Ingles,Marc Webb,5.7,Amblin Partners,G,Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan, Sally Field, Colm Feore,,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",Acción, Aventuras,45
México bárbaro,2014,México,Español,"Jorge Michel Grau, Isaac Ezban, Laurette Flores Born, Ulises Guzman, Edgar Nito, Lex Ortega, Gigi Saul Guerrero, Aaron Soto",4.2,Miramax,PG-13,Harold Torres, Waldo Facco, Marco Zapata, Mathias Retamal, Barbara Perrin Rivemar, Claudia Goytia,Mejor Película,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Terror,,60
"Detention, desafío en las aulas ",2003,Canadá,Ingles,Sidney J. Furie,3,Miramax,PG-13,Dolph Lundgren, Alex Karzis, Kata Dobó, Corey Sevier, Dov Tiefenbach, K.C. Collins,,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,Acción,,90
Domésticas,2001,Brasil,Portugues,"Fernando Meirelles, Nando Olival",6.2,Miramax,G,Cláudia Missura, Graziela Moretto, Lena Roque, Olivia Araújo, Renata Melo, Robson Nunes,Mejor Fotografía,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Comedia,,90
Camino a la perdición,2002,Estados Unidos,Ingles,Sam Mendes,7.6,Miramax,PG-13,Tom Hanks, Paul Newman, Jude Law, Tyler Hoechlin, Daniel Craig, Jennifer Jason Leigh,,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",Drama, Intriga,45
Archenemy,2020,Estados Unidos,Ingles,Adam Egypt Mortimer,4.2,Paramount Pictures,PG,Joe Manganiello, Glenn Howerton, Joseph D. Reitman, Mac Brandt, Kieran Gallagher, Christopher Guyton,,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Acción, Aventuras,90
Ghost Walk,2018,Corea del Sur,Coreano,Yu Eun-jeong,5.6,Lionsgate Films,PG-13,Han Hae-in, Gam So-hyun,,,,,Mejor Director,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Fantástico,,120
Roberto Succo,2001,Francia,Frances,Cédric Kahn,6,Miramax,PG,Stefano Cassetti, Isild Le Besco, Patrick Dell'Isola, Vincent Dénériaz, Aymeric Chauffert, Viviana Aliberti,Mejor Diseño de Producción,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",Drama,,90
Blueberry: La experiencia secreta,2004,Francia,Frances,Jan Kounen,3.4,Miramax,PG-13,Vincent Cassel, Juliette Lewis, Michael Madsen, Eddie Izzard, Colm Meaney, Temuera Morrison,,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Aventuras,,
Ahora los padres son ellos,2010,Estados Unidos,Ingles,Paul Weitz,4.8,Pixar Animation Studios,R,Robert De Niro, Ben Stiller, Jessica Alba, Teri Polo, Owen Wilson, Dustin Hoffman,,"Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Comedia,,60
Museum Hours,2012,Austria,Aleman,Jem Cohen,7,Annapurna Pictures,R,Mary Margaret O'Hara, Bobby Sommer, Ela Piplits, Marcus O'Hara, Deborah Gzesh, Marco Calamita,,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",Drama,,90
Dos rubias de pelo en pecho,2004,Estados Unidos,Ingles,Keenen Ivory Wayans,4.3,Legendary Pictures,PG-13,Shawn Wayans, Marlon Wayans, Jaime King, Maitland Ward, Frankie Faison, Jennifer Carpenter,Mejor Guión,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,Acción, Comedia,90
Velvet Buzzsaw,2019,Estados Unidos,Ingles,Dan Gilroy,4.8,Fox Searchlight Pictures,PG,Jake Gyllenhaal, René Russo, Zawe Ashton, Toni Collette, John Malkovich, Tom Sturridge,Mejor Director,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",Intriga, Thriller,90
The Wild Hunt,2009,Canadá,Ingles,Alexandre Franchi,5.3,Miramax,PG-13,Kyle Gatehouse, Trevor Hayes, Kaniehtiio Horn, Claudia Jurt, Mark Antony Krupa, Ricky Mabe,,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Thriller,,120
Diario de una ninfómana,2008,España,Español,Christian Molina,5,Miramax,PG-13,Belén Fabra, Leonardo Sbaraglia, Llum Barrera, Ángela Molina, Geraldine Chaplin, Antonio Garrido,Mejor Guión,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",Drama,,
El declive,2020,Canadá,Ingles,Patrice Laliberté,5.2,Miramax,PG,Guillaume Laurin, Marc Beaupré, Réal Bossé, Marilyn Castonguay, Guillaume Cyr, Isabelle Giroux,Mejor Banda Sonora Original,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Thriller,,90
Todo menos la chica,2002,España,Español,Jesús R. Delgado,3.1,Miramax,NC-17,Liberto Rabal, Álex Angulo, María Adánez, Fernando Guillén Cuervo, Nathalie Seseña, Duna Jové,,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",Comedia,,120
Little Deaths,2011,Reino Unido,Ingles,"Sean Hogan, Andrew Parkinson, Simon Rumley",4.2,Columbia Pictures,PG,Scott Ainslie, Mike Anfield, James Anniballi, Kate Braithwaite, Daniel Brocklebank,,,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Terror,,60
Synchronic,2019,Estados Unidos,Ingles,"Justin Benson, Aaron Moorhead",5.7,Warner Bros. Pictures,PG-13,Jamie Dornan, Anthony Mackie, Ally Ioannides, Bill Oberst Jr., Betsy Holt, Martin Bats Bradford,Mejor Actor Principal,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Ciencia ficción, Thriller,60
Camino,2015,Estados Unidos,Ingles,Josh C. Waller,4,Relativity Media,PG,Zoe Bell, Nacho Vigalondo, Francisco Barreiro, Sheila Vand, Tenoch Huerta, Dominic Rains,,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Acción, Aventuras,
El culo del mundo,2014,España,Español,Andreu Buenafuente,5.4,Screen Gems,PG-13,Andreu Buenafuente, Santiago Segura, Isabel Coixet, El Gran Wyoming, Concha Velasco, José Corbacho,,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Comedia,,150
Upstream Color,2013,Estados Unidos,Ingles,Shane Carruth,6.2,Blumhouse Productions,NC-17,Amy Seimetz, Shane Carruth, Andrew Sensenig, Thiago Martins, Juli Erickson, Ted Ferguson,,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",Ciencia ficción, Drama,60
La leyenda de Redbad,2018,Bajos (Holanda),,Roel Reiné,4.6,Sony Pictures Entertainment,G,Gijs Naber, Jonathan Banks, Loes Haverkort, Søren Malling, Renée Soutendijk, Derek de Lint,,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Aventuras,,60
Dark Corners,2006,Reino Unido,Ingles,Ray Gower,3.8,20th Century Studios,NC-17,Thora Birch, Toby Stephens, Christien Anholt, Joanna Hole, Lorraine Bruce, Ray Charleson,Mejor Director,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Terror, Thriller,60
Smart People (Gente inteligente),2008,Estados Unidos,Ingles,Noam Murro,5.4,Miramax,G,Dennis Quaid, Sarah Jessica Parker, Ellen Page, Thomas Haden Church, Christine Lahti, Ashton Holmes,Mejor Actriz de Reparto,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,Drama, Comedia,90
El desentierro,2018,España,Español,Nacho Ruipérez,5.2,Miramax,PG,Leonardo Sbaraglia, Michel Noher, Jan Cornet, Francesc Garrido, Jelena Jovanoa, Ana Torrent,Mejor Diseño de Producción,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Thriller,,90
La frontera del alba,2008,Francia,Frances,Philippe Garrel,6.9,Miramax,R,Louis Garrel, Clémentine Poidatz, Laura Smet,,,,,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,Drama, Romance,90
Esta abuela es mi padre,2011,Estados Unidos,Ingles,John Whitesell,3.7,Miramax,PG-13,Martin Lawrence, Brandon T. Jackson, Portia Doubleday, Max Casella, Faizon Love, Jessica Lucas,Mejor Director,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",Acción, Comedia,
Thale,2012,Noruega,,Aleksander Nordaas,4.8,Marvel Studios,G,Morten Andresen, Erlend Nervold, Jon Sigve Skard, Silje Reinåmo, Sunniva Lien, Roland Astrand,,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Fantástico, Intriga,
Siembamba,2018,Sudáfrica,Ingles,Darrell James Roodt,3.6,Paramount Pictures,PG-13,Brandon Auret, Reine Swart, Thandi Puren, Deànré Reiners, Samuel Frauenstein, Dorothy Ann Gould,,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Terror,,90
Conspiración militar,2008,Estados Unidos,Ingles,John Carter,2.8,New Line Cinema,NC-17,Cuba Gooding Jr., J.K. Simmons, John Terry, Lance Reddick, Clarence Williams III, Jaclyn DeSantis,,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Acción, Thriller,90
Más allá del odio,2005,Estados Unidos,Ingles,Mike Binder,5.4,Walt Disney Pictures,NR,Kevin Costner, Joan Allen, Erika Christensen, Evan Rachel Wood, Keri Russell, Alicia Witt,,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Drama,,
Puertas abiertas,2018,Estados Unidos,Ingles,"Matt Angel, Suzanne Coote",3.1,Universal Pictures,G,Dylan Minnette, Piercey Dalton, Sharif Atkins, Patricia Bethune, Matt Angel, Suzanne Coote,Mejor Edición,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Terror, Thriller,60
Feed the Devil,2015,Canadá,Ingles,Max Perrier,2.4,Miramax,G,Jared Cohn, Ardis Barrow, Victoria Curtain, Brandon Perrault, Nahka Bertrand, Tyson Houseman,Mejor Director,Suspendisse potenti. Nullam porttitor lacus at turpis.,Terror,,60
Cazador de dragones,2008,Estados Unidos,Ingles,Steve Shimek,3,Pixar Animation Studios,PG-13,Kelly Stables, Brad Johnson, Newell Alexander, Erik Denton, Slate Holmgren, Adam Johnson,Mejor Actriz Principal,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Aventuras, Fantástico,120
Varg Veum - En la noche todos los lobos son grises,2011,Noruega,,Alexander Eik,6.4,Amblin Partners,R,Trond Espen Seim, Lene Nystrøm, Jonathan Espolin, Bjørn Floberg, George Mendel, Ane Dahl Torp,Mejor Director,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,Acción, Thriller,90
El contable,2016,Estados Unidos,Ingles,Gavin O'Connor,6,20th Century Studios,G,Ben Affleck, Anna Kendrick, J.K. Simmons, Cynthia Addai-Robinson, Jon Bernthal, John Lithgow,,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,Acción, Drama,
X-Men: Primera generación,2011,Estados Unidos,Ingles,Matthew Vaughn,6.8,Legendary Entertainment,G,James McAvoy, Michael Fassbender, Kevin Bacon, Jennifer Lawrence, January Jones, Jason Flemyng,,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,Acción, Aventuras,45
Pequeño demonio,2017,Estados Unidos,Ingles,Eli Craig,4.5,Working Title Films,PG,Adam Scott, Evangeline Lilly, Bridget Everett, Clancy Brown, Tyler Labine, Donald Faison,,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Terror, Comedia,
"No sos vos, soy yo ",2004,Argentina,Español,Juan Taratuto,6.3,DreamWorks Pictures,PG-13,Diego Peretti, Soledad Villamil, Cecilia Dopazo, Marcos Mundstock, Roly Serrano, Hernán Jiménez,,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Comedia, Romance,150
Despierto (Awake),2007,Estados Unidos,Ingles,Joby Harold,6,Miramax,NC-17,Hayden Christensen, Jessica Alba, Terrence Howard, Lena Olin, Christopher McDonald, Fisher Stevens,Mejor Banda Sonora Original,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Drama, Intriga,60
Decommissioned,2016,Estados Unidos,Ingles,Timothy Woodward Jr.,2.5,20th Century Studios,NR,Johnny Messner, Vinnie Jones, Estella Warren, James Remar, Michael Paré, Richard Burgi,,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",Acción,,90
The Mix,2003,España,Español,Pedro Lazaga,2.2,Miramax,PG,Víctor Serrano, William Miller, Diana Noguera, David García Palencia, Ramón Langa, Luis Lázaro,,In sagittis dui vel nisl. Duis ac nibh.,Comedia, Romance,150
Los juegos del hambre,2012,Estados Unidos,Ingles,Gary Ross,6.2,Miramax,G,Jennifer Lawrence, Josh Hutcherson, Elizabeth Banks, Woody Harrelson, Donald Sutherland, Stanley Tucci,,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",Aventuras, Ciencia ficción,60
El juego de los condenados,2015,Estados Unidos,Ingles,Roel Reiné,3.6,Lionsgate Films,PG-13,Randy Orton, Eric Roberts, Wes Studi, Steven Michael Quezada, Bill Stinchcomb, Alex Knight,Mejor Edición,Morbi a ipsum. Integer a nibh. In quis justo.,Acción,,120
The Battalion,2015,Rusia,Ruso,Dmitri Meskhiyev,6.2,Miramax Films,PG,Mariya Aronova, Mariya Kozhevnikova, Alena Kuchkova, Valeriya Shkirando, Irina Rakhmanova, Mila Makarova,,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",Acción,,90
Hard Labor,2011,Brasil,Portugues,"Marco Dutra, Juliana Rojas",5.4,Lionsgate Films,PG-13,Helena Albergaria, Marat Descartes, Naloana Lima, Gilda Nomacce, Marina Flores,,Mejor Actriz Principal,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",Intriga,,90
El reportero: La leyenda de Ron Burgundy,2004,Estados Unidos,Ingles,Adam McKay,5.5,Sony Pictures Entertainment,NC-17,Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell, David Koechner, Fred Willard,Mejor Actor Principal,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",Comedia,,90
"Harriet, en busca de la libertad ",2019,Estados Unidos,Ingles,Kasi Lemmons,5.6,Canal,PG-13,Cynthia Erivo, Joe Alwyn, Janelle Monáe, Leslie Odom Jr., Deborah Ayorinde, Vondie Curtis-Hall,,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Drama,,
El infiltrado (Larceny),2016,Estados Unidos,Ingles,R. Ellis Frazier,2.7,Marvel Studios,PG,Dolph Lundgren, Louis Mandylor, Corbin Bernsen, Isaac C. Singleton, Jocelyn Osorio, David Fernandez Jr.,Mejor Actriz Principal,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Acción, Thriller,
Somnia. Dentro de tus sueños,2016,Estados Unidos,Ingles,Mike Flanagan,5.3,Universal Pictures,PG,Kate Bosworth, Thomas Jane, Jacob Tremblay, Annabeth Gish, Dash Mihok, Scottie Thompson,Mejor Guión,Aliquam non mauris. Morbi non lectus.,Fantástico, Terror,
Kiseki (Milagro),2011,Japón,Japones,Hirokazu Koreeda,6.8,Constantin Film,PG,Ohshirô Maeda, Koki Maeda, Hiroshi Abe, Jô Odagiri, Yoshio Harada, Masami Nagasawa,,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,Drama, Comedia,120
Hoffmaniada,2018,Rusia,Ruso,Stanislav Sokolov,5.2,Warner Bros. Pictures,PG-13,,,,,,,,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",Fantástico,,120
Expired,2007,Estados Unidos,Ingles,Cecilia Miniucchi,5.6,Miramax,PG,Jason Patric, Samantha Morton, Teri Garr, Illeana Douglas, Anthony John Crane, Joe Camareno,,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.",Romance,,
Brutal Box,2011,España,Español,Óscar Rojo,4,Constantin Film,PG-13,Óscar Rojo, Mario de la Rosa, Rafa Rojas-Díez, Leire López del Pueyo, Esther Gurillo, Vanesa Escribano,,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Thriller,,120
The Pool,2018,Tailandia,,Ping Lumpraploeng,4.6,DreamWorks Pictures,PG-13,Theeradej Wongpuapan, Ratnamon Ratchiratham,,,,,Mejor Actriz de Reparto,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Acción, Terror,
Fashion Hell,2010,Japón,Japones,Jun Tsugita,4.1,Legendary Entertainment,PG-13,Saori Hara, Miho Arai, Yûya Ishikawa, Takashi Nishina, Demo Tanaka, Tôshi Yanagi,,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Terror,,60
Missing,2009,Corea del Sur,Coreano,Kim Sung-hong,4.5,MGM Studios,PG-13,Mun Seong-kun, Choo Ja-hyun, Sun Woo-Sun, Moon-cheol Nam,,,Mejor Diseño de Vestuario,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",Thriller,,60
Belleza eterna,2019,Reino Unido,Ingles,Craig Roberts,5.9,Toho Company,PG-13,Sally Hawkins, Alice Lowe, David Thewlis, Billie Piper, Penelope Wilton, Robert Aramayo,,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,Romance,,60
A Company Man,2012,Corea del Sur,Coreano,Lim Sang-Yoon,6,Focus Features,NR,So Ji-Sub, Lee Mi-yeon, Kwak Do-won, Kim Dong-Jun, Jeon Gook-hwan, Lee Kyung-young,,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",Acción, Thriller,120
Contrarreloj,2012,Estados Unidos,Ingles,Simon West,4.3,Village Roadshow Pictures,PG-13,Nicolas Cage, Malin Akerman, Josh Lucas, Danny Huston, Mark Valley, Sami Gayle,Mejor Película,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,Acción,,90
